phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Mid-downswing,mid_downswing,lag,lag_angle,50.0,2.5,144.63784602916496,160.0,180.0,-15.362153970835038,critical,0.625,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,100,57.5
Impact,impact,x_factor_unwind,x_factor,0.0,0.0,95.69152452635072,0.0,18.0,77.69152452635072,critical,13.5,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,105,40.0
Impact,impact,arm_extension,lead_arm_angle,50.0,15.0,138.3587387494319,155.0,175.0,-16.641261250568107,critical,4.5,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,105,40.0
Impact,impact,lag_release,lag_angle,100.0,2.0,168.69693065617372,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,105,40.0
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,168.69693065617372,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,105,40.0
Impact,impact,stability,head_displacement,100.0,13.0,0.017484830121732103,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",105,40.0
Follow-through,follow_through,arm_swing,lead_arm_angle,0.0,0.0,67.99026201107432,160.0,175.0,-92.00973798892568,critical,3.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,107,27.5
Follow-through,follow_through,rotation,hip_rotation,0.0,0.0,18.62512622040115,165.0,180.0,-146.37487377959886,critical,2.5,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,107,27.5
Follow-through,follow_through,posture,spine_angle,50.0,17.5,30.165362019698154,-30.0,20.0,10.165362019698154,critical,1.75,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,107,27.5
Follow-through,follow_through,deceleration,x_factor,100.0,10.0,12.873116369929662,10.0,20.0,0.0,strength,0.0,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,107,27.5
Finish,finish,rotation,hip_rotation,0.0,0.0,3.8186054315826707,160.0,175.0,-156.18139456841732,critical,0.8,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,189,77.3283509651383
Finish,finish,posture,spine_angle,89.31340386055322,22.328350965138306,14.137319227889355,-10.0,12.0,2.137319227889355,minor,0.10686596139446777,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,189,77.3283509651383
Finish,finish,balance,head_displacement,100.0,35.0,0.07318407322162936,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,189,77.3283509651383
Finish,finish,symmetry,x_factor,100.0,20.0,4.053947008826178,0.0,6.0,0.0,strength,0.0,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,189,77.3283509651383
