phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,165.63475452082352,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,62,97.5
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,178.99560604145987,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,62,97.5
Mid-downswing,mid_downswing,upper_body_lag,x_factor,100.0,30.0,0.38885873576768404,0.0,5.0,0.0,strength,0.0,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,62,97.5
Impact,impact,x_factor_unwind,x_factor,20.815425744469138,9.366941585011112,2.127927771012736,0.0,18.0,0.0,critical,10.689917524496666,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,67,49.095630835730155
Impact,impact,lag_release,lag_angle,100.0,2.0,170.08608351691362,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,67,49.095630835730155
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,170.08608351691362,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,67,49.095630835730155
Impact,impact,stability,head_displacement,100.0,13.0,0.02191596713160116,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",67,49.095630835730155
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,0.5028830103527469,10.0,20.0,-9.497116989647253,critical,0.25,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,70,92.33639573574462
Follow-through,follow_through,posture,spine_angle,100.0,35.0,11.129321035784887,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,70,92.33639573574462
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,164.9871754437626,160.0,175.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,70,92.33639573574462
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,178.33377627669446,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,70,92.33639573574462
Finish,finish,symmetry,x_factor,25.244341915817987,5.048868383163597,24.751131616836403,0.0,6.0,18.751131616836403,critical,0.14951131616836405,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,99,82.87681557862943
Finish,finish,rotation,hip_rotation,89.28539452291304,17.857078904582607,177.1429210954174,160.0,175.0,2.1429210954173925,minor,0.021429210954173925,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,99,82.87681557862943
Finish,finish,balance,head_displacement,100.0,35.0,0.08522915812354388,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,99,82.87681557862943
Finish,finish,posture,spine_angle,100.0,25.0,11.930667460081857,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,99,82.87681557862943
